passenger_key,passenger_id,gender,age,age_band,email_masked,phone_masked,aadhaar_masked,passenger_name_masked
1,P1000,F,52,Senior Adult (51-65),vi***************@gmail.com,+91-XXXXX-XX90,XXXX-XXXX-6001,V**** C****
2,P1001,M,15,Youth (<18),kr***********@hotmail.com,+91-XXXXX-XX97,XXXX-XXXX-2654,K**** R****
3,P1002,M,72,Senior (65+),my********@outlook.com,+91-XXXXX-XX92,XXXX-XXXX-8161,M**** N****
4,P1003,F,61,Senior Adult (51-65),my*********@hotmail.com,+91-XXXXX-XX51,XXXX-XXXX-6475,M**** M****
5,P1004,M,21,Young Adult (18-35),sa*************@outlook.com,+91-XXXXX-XX13,XXXX-XXXX-6483,S**** B****
6,P1005,M,83,Senior (65+),re***********@gmail.com,+91-XXXXX-XX18,XXXX-XXXX-3767,R**** J****
7,P1006,M,87,Senior (65+),ka********@yahoo.com,+91-XXXXX-XX30,XXXX-XXXX-3287,K**** N****
8,P1007,M,75,Senior (65+),sa********@gmail.com,+91-XXXXX-XX19,XXXX-XXXX-8480,S**** J****
9,P1008,M,75,Senior (65+),ka**********@gmail.com,+91-XXXXX-XX00,XXXX-XXXX-8281,K**** P****
10,P1009,M,88,Senior (65+),sa**********@hotmail.com,+91-XXXXX-XX19,XXXX-XXXX-0154,S**** K****
11,P1010,M,24,Young Adult (18-35),sa*********@yahoo.com,+91-XXXXX-XX90,XXXX-XXXX-4896,S**** A****
12,P1011,M,3,Youth (<18),sa********@yahoo.com,+91-XXXXX-XX18,XXXX-XXXX-5098,S**** N****
13,P1012,M,22,Young Adult (18-35),ar*********@yahoo.com,+91-XXXXX-XX45,XXXX-XXXX-4738,A**** P****
14,P1013,M,53,Senior Adult (51-65),sa*******@hotmail.com,+91-XXXXX-XX98,XXXX-XXXX-6701,S**** I****
15,P1014,F,2,Youth (<18),an************@outlook.com,+91-XXXXX-XX05,XXXX-XXXX-7317,A**** B****
16,P1015,F,88,Senior (65+),aa**********@gmail.com,+91-XXXXX-XX41,XXXX-XXXX-2606,A**** V****
17,P1016,M,30,Young Adult (18-35),vi**********@rediffmail.com,+91-XXXXX-XX26,XXXX-XXXX-8050,V**** N****
18,P1017,F,38,Middle Aged (36-50),re****************@rediffmail.com,+91-XXXXX-XX76,XXXX-XXXX-1939,R**** C****
19,P1018,F,2,Youth (<18),ir*******@hotmail.com,+91-XXXXX-XX20,XXXX-XXXX-4624,I**** G****
20,P1019,M,64,Senior Adult (51-65),di********@gmail.com,+91-XXXXX-XX29,XXXX-XXXX-2513,D**** P****
21,P1020,M,60,Senior Adult (51-65),an*********@yahoo.com,+91-XXXXX-XX28,XXXX-XXXX-2411,A**** K****
22,P1021,M,21,Young Adult (18-35),ka*********@yahoo.com,+91-XXXXX-XX94,XXXX-XXXX-0164,K**** N****
23,P1022,F,33,Young Adult (18-35),sh***********@outlook.com,+91-XXXXX-XX77,XXXX-XXXX-1280,S**** J****
24,P1023,F,76,Senior (65+),ad**********@hotmail.com,+91-XXXXX-XX73,XXXX-XXXX-1586,A**** P****
25,P1024,M,58,Senior Adult (51-65),vi***********@yahoo.com,+91-XXXXX-XX41,XXXX-XXXX-2160,V**** S****
26,P1025,M,22,Young Adult (18-35),aa**************@yahoo.com,+91-XXXXX-XX72,XXXX-XXXX-1458,A**** C****
27,P1026,M,89,Senior (65+),ir********@hotmail.com,+91-XXXXX-XX52,XXXX-XXXX-6556,I**** G****
28,P1027,F,49,Middle Aged (36-50),re**************@gmail.com,+91-XXXXX-XX99,XXXX-XXXX-5615,R**** B****
29,P1028,F,59,Senior Adult (51-65),aa***********@gmail.com,+91-XXXXX-XX47,XXXX-XXXX-6629,A**** M****
30,P1029,F,42,Middle Aged (36-50),di********@rediffmail.com,+91-XXXXX-XX45,XXXX-XXXX-7387,D**** G****
31,P1030,F,60,Senior Adult (51-65),ad*************@gmail.com,+91-XXXXX-XX78,XXXX-XXXX-0037,A**** K****
32,P1031,M,80,Senior (65+),sh***********@gmail.com,+91-XXXXX-XX43,XXXX-XXXX-1632,S**** P****
33,P1032,M,15,Youth (<18),ka*********@rediffmail.com,+91-XXXXX-XX18,XXXX-XXXX-5798,K**** G****
34,P1033,M,62,Senior Adult (51-65),aa*************@hotmail.com,+91-XXXXX-XX98,XXXX-XXXX-4714,A**** K****
35,P1034,M,62,Senior Adult (51-65),is*********@outlook.com,+91-XXXXX-XX33,XXXX-XXXX-6658,I**** I****
36,P1035,F,47,Middle Aged (36-50),vi**********@hotmail.com,+91-XXXXX-XX14,XXXX-XXXX-2729,V**** G****
37,P1036,F,62,Senior Adult (51-65),ri********@rediffmail.com,+91-XXXXX-XX96,XXXX-XXXX-3755,R**** R****
38,P1037,M,51,Senior Adult (51-65),mu************@rediffmail.com,+91-XXXXX-XX72,XXXX-XXXX-0033,M**** G****
39,P1038,M,55,Senior Adult (51-65),ir*******@yahoo.com,+91-XXXXX-XX41,XXXX-XXXX-9912,I**** P****
40,P1039,F,64,Senior Adult (51-65),sh*************@hotmail.com,+91-XXXXX-XX42,XXXX-XXXX-4919,S**** A****
41,P1040,M,3,Youth (<18),mu************@hotmail.com,+91-XXXXX-XX28,XXXX-XXXX-6572,M**** J****
42,P1041,F,51,Senior Adult (51-65),sh***********@hotmail.com,+91-XXXXX-XX48,XXXX-XXXX-1473,S**** G****
43,P1042,M,7,Youth (<18),ar************@hotmail.com,+91-XXXXX-XX24,XXXX-XXXX-5494,A**** K****
44,P1043,M,21,Young Adult (18-35),ar*********@hotmail.com,+91-XXXXX-XX17,XXXX-XXXX-0143,A**** R****
45,P1044,M,73,Senior (65+),sa******@yahoo.com,+91-XXXXX-XX44,XXXX-XXXX-5574,S**** I****
