booking_id,passenger_key,flight_id,route_key,airline_key,booking_date_key,booking_date,status,is_confirmed,is_cancelled,is_pending,is_status_imputed,seat_number,passport_masked
B1000,592,AI192,3,1,20250614,2025-06-14 11:37:36.951,CANCELLED,0,1,0,False,3D,P1****87
B1001,804,6F026,2,2,20251102,2025-11-02 11:37:36.951,CANCELLED,0,1,0,False,18A,L3****12
B1002,84,SJ010,1,3,20250825,2025-08-25 11:37:36.951,CANCELLED,0,1,0,False,30C,G8****59
B1003,365,AI069,10,1,20251230,2025-12-30 11:37:36.951,CONFIRMED,1,0,0,False,33A,M0****76
B1004,886,UK003,13,4,20251002,2025-10-02 11:37:36.951,PENDING,0,0,1,False,25C,N5****31
B1005,549,AI048,12,1,20250831,2025-08-31 11:37:36.951,CONFIRMED,1,0,0,False,13D,B0****69
B1006,342,AI140,8,1,20250629,2025-06-29 11:37:36.951,CANCELLED,0,1,0,False,17F,W9****20
B1007,839,UK167,9,4,20260312,2026-03-12 11:37:36.951,CONFIRMED,1,0,0,False,22E,C3****17
B1008,407,AI245,2,1,20250907,2025-09-07 11:37:36.951,PENDING,0,0,1,False,34F,J9****82
B1009,425,SJ158,4,3,20250428,2025-04-28 11:37:36.951,CANCELLED,0,1,0,False,33C,Y3****45
B1010,744,AI155,2,1,20251124,2025-11-24 11:37:36.951,CONFIRMED,1,0,0,False,15B,N0****28
B1011,93,AI179,17,1,20251025,2025-10-25 11:37:36.951,CONFIRMED,1,0,0,False,22C,E1****66
B1012,848,AI137,8,1,20250815,2025-08-15 11:37:36.951,PENDING,0,0,1,False,28B,F9****66
B1013,614,SJ001,16,3,20250720,2025-07-20 11:37:36.951,CONFIRMED,1,0,0,False,26E,A5****77
B1014,412,SJ172,12,3,20250915,2025-09-15 11:37:36.951,PENDING,0,0,1,False,21E,P3****52
B1015,432,UK094,2,4,20251021,2025-10-21 11:37:36.951,PENDING,0,0,1,True,6F,D1****67
B1016,678,UK027,2,4,20260113,2026-01-13 11:37:36.951,CANCELLED,0,1,0,False,6A,A7****55
B1017,159,UK067,2,4,20260404,2026-04-04 11:37:36.951,CONFIRMED,1,0,0,False,13B,L1****90
B1018,14,6F196,1,2,20260325,2026-03-25 11:37:36.951,CANCELLED,0,1,0,False,19B,T1****81
B1019,373,6F164,6,2,20250731,2025-07-31 11:37:36.951,CANCELLED,0,1,0,False,19A,Y4****93
B1020,225,SJ112,13,3,20251206,2025-12-06 11:37:36.951,CONFIRMED,1,0,0,False,27B,F7****46
